Output,Output Tone/NAC,Channel Name,Mode,Comments
173.8625,$3,DNET 171,P25,Aircraft Ops
173.7,$304,DNET 175,P25,
170.1,$301,DNET 200,P25,
170.1000,$301,DNET 200,P25,
170.4625,$301,DNET 201,P25,replaced Net-5
170.4625,$301,DNET 201,P25,
172.0625,$301,DNET 202,P25,replaced Net-2
172.0625,$301,DNET 202,P25,
170.125,$304,DNET 203,P25,replaced Net-1
170.1250,$304,DNET 203,P25,
166.4375,$324,DNET 203 INPUT,P25,
172.2625,$301,DNET 204,P25,
172.8625,$301,DNET 205,P25,
172.7625,$301,DNET 206,P25,
171.6625,$301,DNET 207,P25,replaced Net-4
171.6625,$301,DNET 207,P25,
171.6625,$302,DNET 208,P25,
171.35,$301,DNET 209,P25,linked or same input with 171.6625
163.625,$301,DNET 21,P25,
169.55,$302,DNET 210,P25,
172.2625,$303,DNET 211,P25,
165.4875,$301,DNET 25,P25,
169.55,$301,DNET 33,P25,
170.725,$301,DNET 36,P25,
170.725,,DNET 36,P25,
165.2375,$301,DNET 47,P25,
165.2375,$301,DNET 52,P25,
168,$1,DNET 53,P25,
164.625,$1,DNET 54,P25,
165.2375,$301,DNET 55,P25,
163.45,$301,DNET 56,P25,
165.2375,$1,DNET 57,P25,
165.2375,$2,DNET 58,P25,
165.2375,$3,DNET 59,P25,
165.2375,$4,DNET 60,P25,
165.2375,$5,DNET 61,P25,
165.2375,$6,DNET 62,P25,
165.2375,$7,DNET 63,P25,
165.2375,$1,DNET 64,P25,
165.2375,$1,DNET 65,P25,
166.2,$301,DNET 66,P25,
166.4375,$1,DNET 67,P25,
172.7625,$301,DNET 68,P25,
165.2375,$301,DNET 69,P25,
162.7250,$325,DNET INPUT,P25,
167.8875,$301,DTAC ??,P25,
162.95,,DTAC 01,P25,
165.2375,$301,DTAC 01,P25,
169.45,$301,DTAC 02,P25,
165.6875,$301,DTAC 03,P25,
164.6,$301,DTAC 04,P25,
165.4625,$301,DTAC 05,P25,Surv Ops
165.4875,$301,DTAC 06,P25,
165.4125,$301,DTAC 10,P25,
163.25,$301,DTAC 16,P25,
170.675,,DTAC 170.675,P25,
163.8375,$167,FBI,P25,
163.8625,$167,FBI,P25,input to 167.5375 MHz repeater
163.9125,$167,FBI,P25,
167.4625,$167,FBI A-5,P25,
167.6625,$167,FBI A-7,P25,
167.5625,167.9,FBI Common,FMN,FBI
167.56250,$167,FBI Common,P25,Common
167.28750,167.9,FBI Ops 1,FM,Operations
167.53750,$167,FBI Ops 2,P25,Operations
167.58750,167.9,FBI Ops 3,FM,Operations 3
167.5375,167.9,FBI Special Ops repeater,FMN,FBI
167.5375,167.9,FBI Special Ops simplex,FMN,FBI
167.5375,$167,FBI/USMS Interoperability repeater,P25,
163.10000,,Fed 163.1000 A,FMN,Itinerant (Analog)
163.10000,,Fed 163.1000 D,P25,Itinerant (Digital)
163.40000,,Fed 163.4000 A,FMN,Common (Analog)
163.40000,,Fed 163.4000 D,P25,Common (Digital)
163.60000,,Fed 163.6000 A,FMN,Common (Analog)
163.60000,,Fed 163.6000 D,P25,Common (Digital)
163.80000,,Fed 163.8000 A,FMN,Common (Analog)
163.80000,,Fed 163.8000 D,P25,Common (Digital)
163.81250,,Fed 163.8125 A,FMN,Common (Analog)
163.81250,,Fed 163.8125 D,P25,Common (Digital)
164.00000,,Fed 164.0000 A,FMN,Common (Analog)
164.00000,,Fed 164.0000 D,P25,Common (Digital)
164.01250,,Fed 164.0125 A,FMN,Common (Analog)
164.01250,,Fed 164.0125 D,P25,Common (Digital)
164.85000,,Fed 164.8500 A,FMN,Common (Analog)
164.85000,,Fed 164.8500 D,P25,Common (Digital)
165.80000,,Fed 165.8000 A,FMN,Common (Analog)
165.80000,,Fed 165.8000 D,P25,Common (Digital)
165.81250,,Fed 165.8125 A,FMN,Common (Analog)
165.81250,,Fed 165.8125 D,P25,Common (Digital)
166.42500,,Fed 166.4250 A,FMN,Common (Analog)
166.42500,,Fed 166.4250 D,P25,Common (Digital)
166.65000,,Fed 166.6500 A,FMN,Common (Analog)
166.65000,,Fed 166.6500 D,P25,Common (Digital)
166.66250,,Fed 166.6625 A,FMN,Common (Analog)
166.66250,,Fed 166.6625 D,P25,Common (Digital)
167.20000,,Fed 167.2000 A,FMN,Common (Analog)
167.20000,,Fed 167.2000 D,P25,Common (Digital)
167.80000,,Fed 167.8000 A,FMN,Common (Analog)
167.80000,,Fed 167.8000 D,P25,Common (Digital)
167.81250,,Fed 167.8125 A,FMN,Common (Analog)
167.81250,,Fed 167.8125 D,P25,Common (Digital)
168.35000,,Fed 168.3500 A,FMN,Itinerant (Analog)
168.35000,,Fed 168.3500 D,P25,Itinerant (Digital)
171.22500,,Fed 171.2250 A,FMN,Common (Analog)
171.22500,,Fed 171.2250 D,P25,Common (Digital)
171.40000,,Fed 171.4000 A,FMN,Common (Analog)
171.40000,,Fed 171.4000 D,P25,Common (Digital)
171.41250,,Fed 171.4125 A,FMN,Common (Analog)
171.41250,,Fed 171.4125 D,P25,Common (Digital)
408.40000,,Fed 408.4000 A,FMN,Itinerant (Analog)
408.40000,,Fed 408.4000 D,P25,Itinerant (Digital)
409.05000,,Fed 409.0500 A,FMN,Itinerant (Analog)
409.05000,,Fed 409.0500 D,P25,Itinerant (Digital)
409.33750,,Fed 409.3375 A,FMN,Itinerant (Analog)
409.33750,,Fed 409.3375 D,P25,Itinerant (Digital)
